Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
AMIC,American Independence Corp.,NGM,equity,Accident & Health Insurance,USD,Share,10.28,9.75,12.45,83.54M,894
GTS,Triple-S Management Corporation,NYQ,equity,Accident & Health Insurance,USD,Share,23.94,17.02,26.92,585.32M,172202
LRE.L,Lancashire Holdings Limited,LSE,equity,Accident & Health Insurance,GBp,Share,635.92,506.00,703.45,1.26B,496352
AUB.AX,Austbrokers Holdings Limited,ASX,equity,Accident & Health Insurance,AUD,Share,9.16,8.21,11.25,554.43M,68192
SFG,StanCorp Financial Group Inc.,NYQ,equity,Accident & Health Insurance,USD,Share,76.33,59.28,79.07,3.28B,148190
AIZ,Assurant Inc.,NYQ,equity,Accident & Health Insurance,USD,Share,67.46,59.73,71.99,4.89B,673513
NHF.AX,NIB Holdings Limited,ASX,equity,Accident & Health Insurance,AUD,Share,3.51,2.75,3.88,1.58B,304126
AFL,AFLAC Inc.,NYQ,equity,Accident & Health Insurance,USD,Share,62.19,54.99,65.10,26.64B,2078970
PRA,ProAssurance Corporation,NYQ,equity,Accident & Health Insurance,USD,Share,46.10,42.93,48.34,2.62B,247103
MIC.TO,Genworth MI Canada Inc.,TOR,equity,Accident & Health Insurance,CAD,Share,33.28,27.75,41.98,2.87B,221364
FAC,First Acceptance Corp.,NYQ,equity,Accident & Health Insurance,USD,Share,3.20,,3.39,129.20M,38816
DCS.MU,JC DECAUX,MUN,equity,Advertising Agencies,EUR,Share,37.28,,38.60,,6
XBTC,Xhibit Corp.,PNK,equity,Advertising Agencies,,Share,0,,1,,6153
UNM,Unum Group,NYQ,equity,Accident & Health Insurance,USD,Share,36.06,,37.17,9.03B,1426830
VISN,VisionChina Media Inc.,NMS,equity,Advertising Agencies,USD,Share,13.68,,19.87,60.46M,68295
QXQ.AX,Q Limited,ASX,equity,Advertising Agencies,,Share,,,,,
PUB.PA,Publicis Groupe SA,PAR,equity,Advertising Agencies,EUR,Share,69.48,,78.10,15.22B,1091947
SAX.BE,STROEER MEDIA,BER,equity,Advertising Agencies,EUR,Share,41.24,,45.26,,54
TRS.L,Tarsus Group plc,LSE,equity,Advertising Agencies,GBp,Share,210.66,,236.00,204.50M,154039
DEN.DU,DENTSU,DUS,equity,Advertising Agencies,EUR,Share,44.592,,49.340,,
