Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
GTS,Triple-S Management Corporation,NYQ,EQUITY,Accident & Health Insurance,USD,Share,23.89,17.02,26.92,585.32M,171779
AMIC,American Independence Corp.,NGM,EQUITY,Accident & Health Insurance,USD,Share,10.29,9.75,12.45,83.54M,827
LRE.L,Lancashire Holdings Limited,LSE,EQUITY,Accident & Health Insurance,GBp,Share,635.9190,506.0000,703.4500,1.27B,339846
Symbol,Name,Exchange,TYPE,Category,,Unit,,,,,
SFG,StanCorp Financial Group Inc.,NYQ,EQUITY,Accident & Health Insurance,USD,Share,76.37,59.28,79.07,3.28B,146592
AIZ,Assurant Inc.,NYQ,EQUITY,Accident & Health Insurance,USD,Share,67.59,59.73,71.99,4.89B,676954
NHF.AX,NIB Holdings Limited,ASX,EQUITY,Accident & Health Insurance,AUD,Share,3.50,2.75,3.88,1.58B,309379
AFL,AFLAC Inc.,NYQ,EQUITY,Accident & Health Insurance,USD,Share,62.17,54.99,65.10,26.64B,2107900
AUB.AX,Austbrokers Holdings Limited,ASX,EQUITY,Accident & Health Insurance,AUD,Share,9.14,8.21,11.25,552.57M,67278
PRA,ProAssurance Corporation,NYQ,EQUITY,Accident & Health Insurance,USD,Share,46.14,42.93,48.34,2.62B,247821
MIC.TO,Genworth MI Canada Inc.,TOR,EQUITY,Accident & Health Insurance,CAD,Share,33.18,27.75,41.98,2.87B,224484
FAC,First Acceptance Corp.,NYQ,EQUITY,Accident & Health Insurance,USD,Share,3.20,2.16,3.39,129.20M,38882
DCS.MU,JC DECAUX,MUN,EQUITY,Advertising Agencies,EUR,Share,37.28,22.94,38.60,,6
XBTC,Xhibit Corp.,PNK,EQUITY,Advertising Agencies,,Share,0,0,1,,6153
UNM,Unum Group,NYQ,EQUITY,Accident & Health Insurance,USD,Share,36.06,30.72,37.17,9.03B,1420750
PUB.PA,Publicis Groupe SA,PAR,EQUITY,Advertising Agencies,EUR,Share,69.48,48.80,78.10,15.25B,1076915
QXQ.AX,Q Limited,ASX,EQUITY,Advertising Agencies,,Share,,,,,
VISN,VisionChina Media Inc.,NMS,EQUITY,Advertising Agencies,USD,Share,13.63,7.35,19.87,60.46M,71018
SAX.BE,STROEER MEDIA,BER,EQUITY,Advertising Agencies,EUR,Share,41.24,14.91,45.65,,139
TRS.L,Tarsus Group plc,LSE,EQUITY,Advertising Agencies,GBp,Share,210.6620,188.1870,236.0000,207.37M,69490
DEN.DU,DENTSU,DUS,EQUITY,Advertising Agencies,EUR,Share,44.592,25.570,48.800,,
PHRM.L,Phorm Corporation Limited,LSE,EQUITY,Advertising Agencies,GBp,Share,4.2812,2.0000,12.2570,19.51M,526279
DCS.SG,JC DECAUX,STU,EQUITY,Advertising Agencies,EUR,Share,37.125,22.770,38.758,,5
DEC.PA,JCDecaux SA,PAR,EQUITY,Advertising Agencies,EUR,Share,37.622,22.575,38.995,8.73B,174660
FUEL,Rocket Fuel Inc.,NMS,EQUITY,Advertising Agencies,USD,Share,8.15,6.78,27.04,309.64M,585632
OMC,Omnicom Group Inc.,NYQ,EQUITY,Advertising Agencies,USD,Share,72.37,64.03,80.98,17.75B,1388860
SZMK,Sizmek Inc.,NMS,EQUITY,Advertising Agencies,USD,Share,7.17,4.85,9.93,221.02M,115094
SPN.V,Snipp Interactive Inc.,VAN,EQUITY,Advertising Agencies,CAD,Share,0.61,0.18,0.99,48.34M,323330
KITM,Kitara Media Corp.,OBB,EQUITY,Advertising Agencies,,Share,0,,,,
MAA.TO,MagIndustries Corp.,TOR,EQUITY,Agricultural Chemicals,CAD,Share,0.11,0.13,0.25,98.27M,37123
MOS,The Mosaic Company,NYQ,EQUITY,Agricultural Chemicals,USD,Share,45.40,40.32,53.83,16.70B,4128430
SMG,The Scotts Miracle-Gro Company,NYQ,EQUITY,Agricultural Chemicals,USD,Share,60.30,52.38,69.27,3.70B,279995
WPP.L,WPP plc,LSE,EQUITY,Advertising Agencies,GBp,Share,1486.7800,1091.0000,1616.0000,19.71B,3288444
